Date : 2023-07-19 01:11:11
Directory : g:\Projects\C_CPP\Clion\NGS\include\NGS
Total : 191 files,  10227 codes, 857 comments, 2280 blanks, all 13364 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        187 |      9,293 |        857 |      2,280 |     12,430 |
| XML      |          4 |        934 |          0 |          0 |        934 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        191 |     10,227 |        857 |      2,280 |     13,364 |
| . (Files)                                                                      |          3 |        351 |         39 |         17 |        407 |
| algorithm                                                                      |          5 |        227 |        122 |         70 |        419 |
| base                                                                           |         40 |      1,492 |        223 |        471 |      2,186 |
| base (Files)                                                                   |         16 |        955 |        131 |        283 |      1,369 |
| base\boost                                                                     |          3 |         26 |          0 |         14 |         40 |
| base\mpl                                                                       |         21 |        511 |         92 |        174 |        777 |
| base\mpl (Files)                                                               |          8 |        199 |         61 |         68 |        328 |
| base\mpl\concepts                                                              |          7 |        125 |         12 |         43 |        180 |
| base\mpl\sequence                                                              |          2 |         22 |          0 |         12 |         34 |
| base\mpl\struct                                                                |          4 |        165 |         19 |         51 |        235 |
| embedded                                                                       |         12 |        292 |          0 |        115 |        407 |
| embedded (Files)                                                               |          2 |         26 |          0 |         13 |         39 |
| embedded\bus                                                                   |          7 |        208 |          0 |         78 |        286 |
| embedded\bus (Files)                                                           |          2 |         41 |          0 |         18 |         59 |
| embedded\bus\i2c                                                               |          1 |         99 |          0 |         22 |        121 |
| embedded\bus\serial_port                                                       |          1 |         19 |          0 |         10 |         29 |
| embedded\bus\spi                                                               |          1 |         19 |          0 |          9 |         28 |
| embedded\bus\uart                                                              |          1 |         19 |          0 |         10 |         29 |
| embedded\bus\usb                                                               |          1 |         11 |          0 |          9 |         20 |
| embedded\io                                                                    |          3 |         58 |          0 |         24 |         82 |
| extend                                                                         |         17 |      1,561 |        153 |        286 |      2,000 |
| graphic                                                                        |          6 |         90 |          3 |         39 |        132 |
| graphic (Files)                                                                |          1 |          6 |          0 |          2 |          8 |
| graphic\api                                                                    |          5 |         84 |          3 |         37 |        124 |
| imgui                                                                          |          1 |         37 |          0 |         10 |         47 |
| math                                                                           |          9 |      1,048 |        109 |        178 |      1,335 |
| nda                                                                            |         13 |        642 |         24 |        121 |        787 |
| nda (Files)                                                                    |          5 |        263 |          0 |         16 |        279 |
| nda\container                                                                  |          2 |        104 |          0 |         30 |        134 |
| nda\core                                                                       |          5 |        254 |         24 |         70 |        348 |
| nda\effect                                                                     |          1 |         21 |          0 |          5 |         26 |
| ngl                                                                            |         37 |      1,878 |        128 |        370 |      2,376 |
| ngl (Files)                                                                    |          9 |        665 |          9 |         84 |        758 |
| ngl2                                                                           |         27 |      1,455 |         42 |        327 |      1,824 |
| ngl2 (Files)                                                                   |          7 |        452 |          9 |         80 |        541 |
| ngl2\api                                                                       |          6 |        393 |          3 |         91 |        487 |
| ngl2\fw                                                                        |          1 |         92 |          1 |         19 |        112 |
| ngl2\gl                                                                        |         13 |        518 |         29 |        137 |        684 |
| ngl\base                                                                       |          8 |        199 |         21 |         65 |        285 |
| ngl\shader                                                                     |          3 |        140 |          1 |         28 |        169 |
| ngl\texture                                                                    |          2 |         94 |          0 |         26 |        120 |
| ngl\vertex                                                                     |         15 |        780 |         97 |        167 |      1,044 |
| ngl\vertex (Files)                                                             |          9 |        325 |         81 |         98 |        504 |
| ngl\vertex\array                                                               |          6 |        455 |         16 |         69 |        540 |
| nsl                                                                            |         15 |      1,031 |         14 |        233 |      1,278 |
| nsl (Files)                                                                    |          5 |        260 |          0 |         25 |        285 |
| nsl\file                                                                       |          3 |        137 |          1 |         43 |        181 |
| nsl\io                                                                         |          3 |        225 |          3 |         51 |        279 |
| nsl\media                                                                      |          4 |        409 |         10 |        114 |        533 |
| nsw                                                                            |          6 |        123 |          0 |         43 |        166 |
| nsw (Files)                                                                    |          4 |         19 |          0 |         11 |         30 |
| nsw\bus                                                                        |          2 |        104 |          0 |         32 |        136 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                       | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.h                                  | C++      |         20 |         39 |         12 |         71 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.hpp                                | C++      |         12 |          0 |          5 |         17 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.vcxproj                            | XML      |        319 |          0 |          0 |        319 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.h                        | C++      |         54 |         84 |         13 |        151 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.hpp                      | C++      |        165 |         38 |         52 |        255 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.h                  | C++      |          5 |          0 |          2 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.hpp                | C++      |          2 |          0 |          2 |          4 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\dynamic_program.h            | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\STL.h                             | C++      |         50 |         17 |         17 |         84 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\assert.h                          | C++      |         57 |          1 |         12 |         70 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base.h                            | C++      |         18 |         13 |         10 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base_class.h                      | C++      |         26 |          7 |          7 |         40 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\bit.h                             | C++      |        129 |         39 |         41 |        209 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\boost.h                     | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\mpl.h                       | C++      |         20 |          0 |         10 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\property_tree.h             | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\concepts.h                        | C++      |         42 |          0 |         19 |         61 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\config.h                          | C++      |         25 |          7 |         12 |         44 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\defined.h                         | C++      |        124 |         26 |         47 |        197 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\log.h                             | C++      |        190 |          3 |         25 |        218 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\memory_reinterpreter.h            | C++      |         29 |          0 |         10 |         39 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\bitmap.h                      | C++      |         45 |          0 |          9 |         54 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\algorithm.h          | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\concept.h            | C++      |          7 |          0 |          1 |          8 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\data_type.h          | C++      |         20 |          2 |          6 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\iterator.h           | C++      |         25 |          7 |          9 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\meta_function.h      | C++      |         31 |          2 |         11 |         44 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\same.h               | C++      |         13 |          0 |          8 |         21 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\sequence.h           | C++      |         28 |          1 |          7 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\defined.h                     | C++      |          0 |          0 |          1 |          1 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\find.h                        | C++      |         35 |         19 |         15 |         69 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\function.h                    | C++      |         32 |         32 |         12 |         76 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl.h                         | C++      |         13 |          0 |          5 |         18 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl_macro.h                   | C++      |         21 |          3 |          9 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\at.h                 | C++      |          6 |          0 |          6 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\sequence.h           | C++      |         16 |          0 |          6 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\spread.h               | C++      |         35 |          7 |          9 |         51 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\struct.h               | C++      |         79 |         12 |         26 |        117 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\var.h                  | C++      |         38 |          0 |         10 |         48 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\vars.h                 | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\template_extraction.h         | C++      |         35 |          7 |         13 |         55 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\utility.h                     | C++      |         18 |          0 |          4 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\space_transform.h                 | C++      |          7 |          0 |          6 |         13 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\template_mate.h                   | C++      |         25 |          0 |          4 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_info.h                       | C++      |        114 |          5 |         17 |        136 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_trait.h                      | C++      |          7 |          0 |          8 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\utility.h                         | C++      |         23 |          0 |          8 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\version.h                         | C++      |         89 |         13 |         40 |        142 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\Interface.h                   | C++      |         20 |          0 |          9 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus.h                     | C++      |          7 |          0 |          2 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus_base.h                | C++      |         34 |          0 |         16 |         50 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\i2c\I2C.h                 | C++      |         99 |          0 |         22 |        121 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\serial_port\serial_port.h | C++      |         19 |          0 |         10 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\spi\SPI.h                 | C++      |         19 |          0 |          9 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\uart\UART.h               | C++      |         19 |          0 |         10 |         29 |
